question,document
Why do we keep track of token usage in a Kestra workflow when calling LLMs?,a4adc70f41
How does checking tokens help with controlling costs in scheduled or looping AI flows?,a4adc70f41
What is the point of looking at token counts if the model response already works fine?,a4adc70f41
Can token monitoring in Kestra help prevent a workflow from running up a huge bill? How?,a4adc70f41
How do you use token usage info from the LLM response in a flow to watch spending per run?,a4adc70f41
How can I get rid of the Docker error that says a path under /tmp is not shared from the host when I start Kestra?,dd8b4c9fda
What do I need to change in Docker Desktop if it refuses to mount /tmp/kestra-wd or another folder under /tmp?,dd8b4c9fda
Where do I add /tmp in Docker Desktop so Docker Compose can run Kestra without the mounts denied error?,dd8b4c9fda
"Do I have to enable file sharing in Docker Desktop to fix the path /tmp is not shared issue, and how do I do that?",dd8b4c9fda
"After I whitelist /tmp in Docker Desktop, what should I run again to bring Kestra back up?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to put in the public repo link?",f29f622684
"If everything was done in the Kestra UI, do I still need to upload something to GitHub for the homework?",f29f622684
"Should I commit the flow YAML files from Kestra, or is a README with my answers enough?",f29f622684
"Do I need to include any scripts the flows use, or just the exported flows themselves?",f29f622684
"Where should I place the Kestra homework files in my repo, and do the form answers go in the repo too?",f29f622684
Why am I getting JSONDecodeError: Expecting value when I try to parse the LLM output into JSON?,a3c7e1b4f9
How can I make the model return only valid JSON instead of wrapping it in markdown or adding extra text?,a3c7e1b4f9
What should I put in the prompt so the LLM outputs a JSON object with exactly a questions list of 5 strings?,a3c7e1b4f9
Is there a way to force structured JSON output with OpenAI so json.loads won't fail?,a3c7e1b4f9
Do Gemini or Groq have something similar to OpenAI response_format for getting clean JSON back?,a3c7e1b4f9
Why does my Jupyter notebook kernel crash when I try to embed the ground-truth data in the evaluation section?,b8f2d6a30c
What can I do if my machine runs out of RAM while loading the embedding model and processing the notebook?,b8f2d6a30c
Is there a smaller embedding model I can use instead of the default one for this eval task?,b8f2d6a30c
"Can I move the embedding step out of the notebook to avoid memory issues, and if so how?",b8f2d6a30c
Do I need to rerun the evaluation metrics if I switch to a different embedder or process the dataset in batches?,b8f2d6a30c
Why do I still hit rate limits when I already added a few seconds of sleep between Gemini calls?,c1e9f4b820
"Is the free Gemini quota limited by just requests per minute, or can a long loop also run into a daily cap?",c1e9f4b820
What should I switch to if I want to generate the ground-truth data without getting blocked so easily by rate limits?,c1e9f4b820
How can I make my thread pool less aggressive when calling the API for evaluation data?,c1e9f4b820
What’s the safest way to continue the ground-truth generation after a rate-limit error so I don’t lose the progress I already made?,c1e9f4b820
How do I fix the WinError 126 / fbgemm.dll missing error on Windows when importing torch?,15e931476c
"Is installing Visual C++ Redistributable enough to solve the ""specified module could not be found"" error for torch on Windows?",15e931476c
"Do I need Visual Studio itself for the fbgemm.dll / PyTorch error, or is Visual Studio Code enough?",15e931476c
What should I install on Windows if Python says it can't load torch\lib\fbgemm.dll or one of its dependencies?,15e931476c
I’m getting a torch DLL load error in Windows 10/11 — what are the two suggested fixes?,15e931476c
"Why am I getting psycopg2 OperationalError saying it can’t translate host name ""postgres"" when I run prep.py, and what should I change in the config?",4b65d5542d
"My prep.py fails with ""could not translate host name postgres to address"". Do I need to edit the .env file, and if so, what value should POSTGRES_HOST have?",4b65d5542d
How do I fix the postgres host error in Module 5 when python prep.py throws a psycopg2 OperationalError about the host name not being known?,4b65d5542d
"When running the prep script I get an OperationalError for host ""postgres"". What’s the correct host setting for POSTGRES_HOST?",4b65d5542d
"prep.py is crashing because it can’t resolve ""postgres"". What’s the simplest fix in .env to make the database connection work?",4b65d5542d
How do I make Pandas stop cutting off long text in a column and show the full content instead?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I view the whole Explanation text from the LLM-as-judge output?",641aedbbf5
What Pandas setting do I need to change so a column doesn’t display only the first 50 characters with ...?,641aedbbf5
"Why is my Explanation column getting truncated in Pandas, and how do I show the entire string?",641aedbbf5
What’s the one-liner to make Pandas display unlimited column width for long text values?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to normalize a vector inside a Pandas Series?,5039707c1a
Is there a simple apply-based method to turn each row vector into a unit vector?,5039707c1a
How do I use NumPy norm to normalize values in a DataFrame column?,5039707c1a
Can I create a new column with normalized vectors from an existing Pandas column?,5039707c1a
How can I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How do I find a column's percentile value in Pandas without using NumPy?,b4c8ac5a0c
What function should I use to compute the 75% quantile in a DataFrame column?,b4c8ac5a0c
Is there a simple Pandas example for getting a column's percentile?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, including the ones that are still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I delete every Docker volume using a single terminal command?,66ccbb7da0
"Is there a quick way to clean my Docker setup by removing containers, images, and volumes all together?",66ccbb7da0
What commands should I run if I want to completely reset Docker and clear everything out?,66ccbb7da0
How can I stop Streamlit session state from letting a user vote twice on the same submission?,2e729f1271
Why does `st.session.submitted` get set back to `True` after I click a feedback button in Streamlit?,2e729f1271
"In Streamlit, what’s the best way to disable +1/-1 buttons after the ask button submits text?",2e729f1271
My session attribute keeps being reassigned in Streamlit — where should I look for the fix?,2e729f1271
Is there a known solution for `st.session.submitted` changing unexpectedly after feedback is clicked?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, but it works normally outside Docker?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails with an OCI runtime create error for a Streamlit app?,e8df9f0d12
How can I fix the issue where Docker says it can't find the streamlit command when launching the container?,e8df9f0d12
Do I need a Dockerfile and some extra config in docker-compose to run Streamlit properly?,e8df9f0d12
What’s the right way to rebuild and start a Streamlit app after changing the Docker and docker-compose files?,e8df9f0d12
"Can the capstone be done as a group, or does each person need their own project?",0fab61eca2
"If two students work on the same system, is that allowed for the capstone?",0fab61eca2
Can I discuss the project idea with classmates and still submit my own capstone?,0fab61eca2
What counts as an individual capstone if we build something together?,0fab61eca2
"Do shared repos work for the capstone, or does every student need a separate submission?",0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt #1 and attempt #2 mean for the project submission?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two different projects just for practice, and do they have to be on different datasets?",d5fc98925d
"If I miss the first submission deadline, can I still join by the second window and count it toward certification?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate things?",e892d44e42
"Is the capstone meant to be done alone, or can we team up for it?",e892d44e42
"If I join the math-kaggle-llm-competition, does that automatically count toward my capstone?",e892d44e42
"Are group submissions allowed for the capstone, or only for the competition?",e892d44e42
What's the difference between the capstone and the competition in terms of individual vs team work?,e892d44e42
How will my capstone project be graded in the course?,9a2e2d2008
Who actually reviews the capstone submission after I turn it in?,9a2e2d2008
Do I need to review other students' capstone projects too?,9a2e2d2008
What happens if I skip grading the other projects I'm assigned?,9a2e2d2008
Is the final project score based on an average or something else?,9a2e2d2008
"After the project submission deadline, how will the review assignments be distributed to us?",eae0fb50aa
How many projects does each participant need to grade once the deadline is over?,eae0fb50aa
"Will there be a list or sheet shared for the peer review assignments, and what will it include?",eae0fb50aa
At what point do we get the projects for grading in the capstone project?,eae0fb50aa
How are the project review tasks assigned after submissions close?,eae0fb50aa
"I already sent in my capstone project, but I still can’t see anything to review. Is that normal?",a8a7fef016
"After the deadline, how do we get project reviews assigned to us?",a8a7fef016
"Can I pick which student projects I want to evaluate, or is it automatic?",a8a7fef016
Why is the review list empty even though my submission is done?,a8a7fef016
Do I have to wait until the project list is released before I can start reviewing?,a8a7fef016
Where can I look for project ideas and possible datasets for the capstone?,e76a70cde3
Is there a page with some dataset suggestions and project inspiration for this assignment?,e76a70cde3
"I'm stuck on the capstone—do you have a link with ideas, data sources, and tips?",e76a70cde3
What’s the best place to find a few good project ideas plus usable datasets for the course project?,e76a70cde3
"Can you point me to the GitHub page that lists project suggestions, datasets, and guidelines?",e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
Can I get full points on the ingestion pipeline part if I just use a plain Python script to load and index the data?,d4f7c08ea1
"Is a Jupyter notebook acceptable for the capstone ingestion pipeline, and how many points would it get?",d4f7c08ea1
When does it make sense to use an orchestration tool in the capstone instead of just writing a script?,d4f7c08ea1
"Should I add an orchestrator only to satisfy the project rubric, or only if my data really needs recurring ingestion?",d4f7c08ea1
How can I evaluate a recommender-style RAG project if I don’t have obvious ground truth answers?,9b0e2d6a47
What’s a good way to create synthetic test queries for a retrieval system when the dataset only has item descriptions?,9b0e2d6a47
Can I use an LLM as a judge to score the quality of my RAG results end to end?,9b0e2d6a47
"For ranking-style recommendations, should I use hit rate or something like NDCG, and why?",9b0e2d6a47
"How do I measure whether my retriever is returning the right item near the top, not just somewhere in the list?",9b0e2d6a47
"What chunking approach should I use first for a huge PDF corpus, and how do I know if it’s actually helping?",6f2a8b3d10
Is it worth asking an LLM to split documents into sections instead of using fixed-size chunks?,6f2a8b3d10
"Should I store short summaries for each chunk, and if so, how can they help retrieval?",6f2a8b3d10
"For long legal or financial docs, is dense search enough or should I mix it with BM25?",6f2a8b3d10
What tools do you recommend for turning PDFs into cleaner text or markdown before chunking?,6f2a8b3d10
"What do you mean by reproducibility for the capstone project, and do reviewers need my API keys to run it?",e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Do I need to commit my .env file with the secret keys, or should I only include a sample file?",e5d8a2c761
What model should I use so reviewers don't waste credits when testing my project?,e5d8a2c761
How important is it to pin package versions and mention the Python or Docker version in the README?,e5d8a2c761
"Can I do the homework or capstone in JavaScript instead of Python, or should I stick with Python?",ea815eb858
"If I build the project with Go, what extra setup instructions do I need to include for the reviewer?",ea815eb858
"Is it actually okay to use languages like TypeScript, Rust, Java, Scala, C#, or R for this course project?",ea815eb858
What should my README cover if I submit a non-Python homework so it can still be checked easily?,ea815eb858
"Will a project outside Python be accepted, and what makes it harder for review?",ea815eb858
Where can I look at past LLM Zoomcamp capstone projects from previous cohorts?,930286278d
Is there a page with submitted LLM Zoomcamp projects I can browse for ideas?,930286278d
"Do you have links to older LLM Zoomcamp project repositories, maybe for 2024 and 2025?",930286278d
"What kind of scope and quality should I aim for in the capstone project, and can I see examples somewhere?",930286278d
Where can I find examples of finished LLM Zoomcamp projects to understand what’s expected?,930286278d
Do I need to announce my capstone project idea before I start it?,897a350476
Should I reserve or claim a project topic for the LLM Zoomcamp capstone?,897a350476
"If I already have a project idea, do I need to post it somewhere first?",897a350476
Can I get feedback on my capstone idea in Slack before I begin?,897a350476
"Is it okay if my capstone topic is similar to a previous project, or does it have to be totally unique?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Does the project have to be a website, or can I expose it through CLI or Slack too?",7318a90b14
Are there any strict rules about what kind of user interface I use for the capstone?,7318a90b14
"If I use a notebook or some other non-web interface, is that still okay for the project?",7318a90b14
"Will the course show how to make a Telegram/WhatsApp/Slack interface, or do I need to figure that part out myself?",7318a90b14
"What are people using to pull text out of PDFs for a RAG app, especially when the docs are messy or scanned?",d8b28c47a0
"Is there a tool the course recommends for extracting text from PDFs, or can I pick whatever works best?",d8b28c47a0
How do I handle scanned PDFs or image-only documents if I need the text for retrieval?,d8b28c47a0
"What’s a good OCR option for documents that don’t have a text layer, like scanned PDFs?",d8b28c47a0
Which extraction libraries or services should I try first for converting PDF documents into text or Markdown for RAG?,d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for learning during the session?",d850a0e7ea
"Is it okay to take what we learned about dlt and apply it to a different Zoomcamp project, like MLOps?",d850a0e7ea
"Since dlt is open source, can I build on the workshop examples for my own work without any issues?",d850a0e7ea
Am I allowed to ask questions about the workshop materials and then use them directly in a project?,d850a0e7ea
Can I share or adapt the workshop resources for other projects outside this course?,d850a0e7ea
How do I initialize a fresh dlt project for loading data from a cloud source?,6bceeebf04
What command should I run to start a new filesystem-to-duckdb dlt pipeline?,6bceeebf04
"If I want to create a new dlt project for cloud file loading, what’s the first step?",6bceeebf04
How can I bootstrap a dlt setup that reads from a filesystem source and writes to DuckDB?,6bceeebf04
Is there a quick command to get a new dlt project going for cloud ingestion?,6bceeebf04
Why do I get `Table notion_pages___homework does not exist` when I try to open the table?,0407213397
"I changed the table name to `notion_pages___homework`, but `db.open_table(...)` still fails — what am I missing?",0407213397
"What should I check if the pipeline says to call `db.create_table(notion_pages___homework, data)` first?",0407213397
Could this error happen because I didn’t rename every `employee_handbook` reference in the pipeline?,0407213397
How do I fix the `FileNotFoundError` for `notion_pages___homework` in the dlt workshop?,0407213397
Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
"How do I fix the error saying I should first call db.create_table(notion_pages___homework, data)?",e95bfafc0e
"In line 3, what table name should I open for the homework notebook in the Notion ingestion example?",e95bfafc0e
My script fails because the table doesn't exist yet — which db.open_table call is the right one here?,e95bfafc0e
What should the code be for opening the notion_pages___homework table before calling main()?,e95bfafc0e
How can I see the list of tables in the database?,e394e6f738
Is there a method to check what tables are inside the db?,e394e6f738
What should I call if I want to print all table names?,e394e6f738
How do I find out which tables exist in the database?,e394e6f738
What’s the easiest way to get all db table names?,e394e6f738
Does dlt already support connectors for ClickHouse or StarRocks?,cd19f122f3
Is there any built-in integration in dlt for ClickHouse and StarRocks?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
"Are ClickHouse and StarRocks connectors available in dlt, or not yet?",cd19f122f3
"If dlt doesn’t support ClickHouse or StarRocks, can the community add them?",cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search endpoint?,0dfba07ace
What should I check first if the notebook says it has no secret access to the Notion API?,0dfba07ace
"Could this Notion API error be caused by an expired token, and how do I fix it?",0dfba07ace
How do I know if I’m using the right API key and permissions for Notion in this workshop notebook?,0dfba07ace
"If the Notion request keeps failing with 401, what auth settings or endpoint details should I verify?",0dfba07ace
How do I get requests installed from the GitHub tag so it uses v2.32.3 instead of the older pip version?,4b30b918bc
"Why does pip keep giving me requests 2.28 when I need the newer one for lancedb, and what command should I use instead?",4b30b918bc
Is there a way to force-install the exact requests release from source for this setup?,4b30b918bc
I'm seeing a 401 Client Error during this step — does that mean my key is wrong or access needs to be granted?,4b30b918bc
What’s the proper pip command to install requests directly from the official v2.32.3 zip link?,4b30b918bc
